,type,value,sum,frac
0,AtoT,1423310.5431428426,22081481.03087214,0.06445720471162739
1,AtoG,1380891.0,22081481.03087214,0.0625361586059094
2,AtoC,1167327.5143327494,22081481.03087214,0.05286454802106379
3,TtoA,1482357.5144593823,22081481.03087214,0.06713125412135612
4,TtoG,1206482.7716890736,22081481.03087214,0.05463776501233268
5,TtoC,1612246.2573109693,22081481.03087214,0.0730135019049169
6,GtoA,1831567.0,22081481.03087214,0.08294584033739785
7,GtoT,3019112.0,22081481.03087214,0.1367259739407414
8,GtoC,1155899.0863130786,22081481.03087214,0.05234699088784013
9,CtoA,3850842.0287921317,22081481.03087214,0.17439237990460268
10,CtoT,2460385.2573109693,22081481.03087214,0.11142301795206137
11,CtoG,1491060.057520947,22081481.03087214,0.06752536460015043
